TIME_STAMP,SNAKE_X,SNAKE_Y,FOOD_X,FOOD_Y,INPUT_BUTTON,SCORE
63,7.0,5.0,2.0,3.0,2,6
68,2.0,5.0,2.0,3.0,0,6
71,2.0,2.0,1.0,1.0,3,7
74,5.0,2.0,1.0,1.0,1,7
78,5.0,6.0,1.0,1.0,2,7
82,1.0,6.0,1.0,1.0,0,7
87,1.0,1.0,5.0,1.0,3,8
92,6.0,1.0,2.0,6.0,1,9
97,6.0,6.0,2.0,6.0,2,9
101,2.0,6.0,1.0,1.0,1,10
104,2.0,9.0,1.0,1.0,-1,10
-1,1.0,3.0,6.0,8.0,-1,0
4,5.0,3.0,6.0,8.0,1,0
9,5.0,8.0,6.0,8.0,2,0
12,2.0,8.0,6.0,8.0,0,0
16,2.0,4.0,6.0,8.0,3,0
20,6.0,4.0,6.0,8.0,1,0
24,6.0,8.0,7.0,3.0,2,1
28,2.0,8.0,7.0,3.0,0,1
33,2.0,3.0,7.0,3.0,3,1
38,7.0,3.0,4.0,3.0,1,2
42,7.0,7.0,4.0,3.0,2,2
45,4.0,7.0,4.0,3.0,0,2
49,4.0,3.0,2.0,7.0,2,3
51,2.0,3.0,2.0,7.0,1,3
56,2.0,8.0,6.0,6.0,3,4
59,5.0,8.0,6.0,6.0,0,4
62,5.0,5.0,6.0,6.0,2,4
66,1.0,5.0,6.0,6.0,1,4
68,1.0,7.0,6.0,6.0,3,4
73,6.0,7.0,6.0,6.0,0,4
75,6.0,5.0,3.0,1.0,2,5
79,2.0,5.0,3.0,1.0,0,5
83,2.0,1.0,3.0,1.0,3,5
84,3.0,1.0,7.0,7.0,1,6
90,3.0,7.0,7.0,7.0,3,6
94,7.0,7.0,3.0,4.0,0,7
97,7.0,4.0,3.0,4.0,2,7
101,3.0,4.0,3.0,3.0,1,8
104,3.0,7.0,3.0,3.0,3,8
107,6.0,7.0,3.0,3.0,0,8
111,6.0,3.0,3.0,3.0,2,8
114,3.0,3.0,2.0,5.0,1,9
